625 50
the 1.359029 -0.395031 -0.352503 -0.756740 0.418225 -0.270791 -0.586194 0.209347 0.419401 0.318720 -0.443834 -0.529691 -0.740106 -0.559041 -0.509915 0.218316 -0.906668 0.779501 -0.415193 0.704030 -0.231776 -0.180922 0.193323 0.754668 -0.460690 0.656705 -0.045452 -0.507415 -0.513928 0.122422 0.913219 -1.312933 0.164406 -1.107483 -0.928272 -0.283473 -0.756478 -0.038188 -0.992184 0.452497 -0.012600 0.056685 0.121068 0.210907 -0.374532 0.308289 0.278181 1.158355 -1.219200 0.223511
of 0.898859 -0.652084 -0.318199 0.164798 0.904839 -0.002176 0.495648 -0.849207 0.855869 0.463347 1.145740 -1.237892 -0.225706 0.368683 -0.072520 1.314165 -0.673124 0.740644 0.586902 0.773712 0.354046 1.069163 0.758832 0.799047 -0.842488 1.051840 0.136745 0.350832 -0.452709 -0.226809 0.246773 -0.141070 -0.413705 -0.002975 -0.474252 -0.227311 0.586640 -0.098815 -1.085096 -0.177868 -1.208070 -0.228725 -0.305611 -0.193535 -0.127597 -0.824187 -0.358857 0.512971 -1.178251 0.735261
and -0.758412 0.092087 -0.307174 -0.566971 0.182509 1.420672 -0.965791 -0.588135 -0.595707 -0.380308 1.183498 0.093999 -0.136603 -0.582744 -0.370242 -1.295696 0.711368 0.793309 0.845712 1.193478 0.145893 0.358433 0.927427 0.204855 -0.200473 0.063187 -0.170805 -0.699065 0.207724 -0.032373 0.741533 0.667354 -0.012055 -0.541943 -0.931192 0.573892 0.627283 0.736309 -1.079434 -0.452114 -0.629511 0.727414 -0.199580 0.651139 0.143651 -0.617683 -0.171423 -0.026453 -0.513313 0.674877
one -0.692080 -0.518831 0.398028 -0.569515 2.330281 1.490555 -3.043069 -0.996448 1.126786 -0.465970 -1.061922 1.006283 -0.561940 -0.153202 -0.745019 1.874759 -0.824599 -1.495993 2.011622 -2.934561 1.102051 -3.072823 -1.025078 -0.588761 -0.060422 -1.361564 -0.621661 -1.090944 0.571181 -1.300846 -0.753929 2.088870 -2.227926 -0.131699 -0.052750 -0.870912 0.741388 -1.944400 0.853721 2.265502 0.015282 0.407373 -0.063300 -2.380855 -0.298686 -1.002682 0.068188 -2.761214 -0.936120 -2.040239
in 0.490923 -0.705869 0.329713 -0.213409 0.974065 -0.495991 -0.665863 -0.134656 -0.400829 -0.303442 1.866663 0.608302 0.702540 0.540295 -0.063763 0.517176 -0.811363 -0.216628 0.918767 -0.972099 0.719824 -0.384052 -0.482219 1.078739 -0.484071 0.646962 -0.945649 -0.119402 0.282556 -1.034329 -0.270336 0.278358 -0.287262 0.157620 -0.751298 0.269610 0.331915 -0.340392 0.080249 0.451608 0.016845 0.236689 -0.705392 -0.045266 0.529919 -0.824593 -0.716255 -0.418638 -1.346979 0.300379
a 0.106415 0.896391 0.025198 -1.296791 0.321148 -1.222771 1.665150 -0.820860 1.020069 0.209897 -0.760910 0.377270 -0.934753 0.453672 0.528923 -1.262749 -0.060626 -0.460913 0.029155 -0.081910 0.126456 0.205913 0.981016 0.828256 0.542455 2.027426 0.167769 -1.160732 -0.359726 2.100415 0.327887 -1.466403 1.045592 0.892031 -0.079615 1.005202 -0.678304 0.794704 -0.359572 0.382561 1.110436 -0.201751 -0.103677 0.019763 -2.547139 0.512151 0.096939 0.073654 -0.246222 0.001460
to 1.523648 -0.162082 0.391722 0.866277 0.148636 -1.799629 0.140077 -0.009896 -1.793681 -0.434306 0.003692 -0.650054 1.354828 0.604245 -1.103666 -2.065388 1.704397 0.389611 0.963642 -0.339762 0.060281 0.496002 -1.115866 -0.056589 -0.233340 -0.060928 -1.816656 -0.401796 -0.753662 1.529228 0.579970 -0.745982 -0.326248 0.184471 0.764018 1.187111 -0.002303 0.524321 0.733039 -2.977781 -1.348110 -1.517499 -0.364632 1.856832 0.097258 0.161718 0.304056 1.093774 -0.473477 -0.403351
zero -1.527070 -1.118203 -0.134053 -0.888475 0.254821 1.608599 -1.848571 -0.837208 2.221475 -0.738045 -2.670811 1.429712 0.146102 -0.056722 0.001730 4.152982 1.032460 -1.642742 1.960508 -0.461024 2.364968 -1.699393 -1.401422 -1.809544 -0.215349 -4.491630 -2.034354 0.736270 1.999614 -0.108526 0.624849 1.521255 -1.976234 1.768919 0.160641 -0.096178 -2.005085 -0.782956 0.118496 1.082834 -1.153157 0.910298 1.466684 -2.832241 -1.070948 1.896734 0.156919 -4.067358 0.102013 -3.202704
nine -1.143580 -0.545538 0.224166 0.274785 3.105400 1.316651 -4.679857 0.008160 1.450852 -1.707885 -1.358287 1.107319 -0.900634 0.249728 -0.747420 0.943105 -0.706457 -1.510356 1.893129 -3.024687 1.667694 -3.583095 -0.938917 -1.043802 -0.300198 -1.873888 -0.688297 -0.964420 0.334234 -2.454961 -0.988220 1.471153 -2.847673 0.368820 -0.530706 -0.877551 0.779804 0.366630 1.447032 2.115115 0.156012 0.351421 -0.523290 -3.204456 -0.212061 -1.842623 1.983083 -3.050192 -1.718749 -2.580111
two -1.335179 -0.601304 -0.426867 -0.652806 0.274837 1.285378 -1.325649 -1.574437 2.502653 -0.544835 -1.567428 0.216635 -0.488743 -0.856614 -0.053628 2.567258 0.877118 -0.882209 2.473270 -1.631556 1.263270 -2.739842 -1.139368 -1.179244 0.093134 -2.838901 -1.601303 0.840878 1.710898 0.154743 -0.004885 1.382809 -1.619610 0.909836 0.174862 0.216332 -1.182691 -1.099174 0.529065 1.658932 -0.445275 0.445812 0.884120 -2.457892 -0.093255 0.950232 -0.295447 -2.953707 -0.279804 -2.608011
